hand,2_win,3_win,4_win,5_win,6_win,7_win,8_win,9_win,10_win,2_tie,3_tie,4_tie,5_tie,6_tie,7_tie,8_tie,9_tie,10_tie,EV_2p,rec_2p,tag_2p,EV_3p,rec_3p,tag_3p,EV_4p,rec_4p,tag_4p,EV_5p,rec_5p,tag_5p,EV_6p,rec_6p,tag_6p,EV_7p,rec_7p,tag_7p,EV_8p,rec_8p,tag_8p,EV_9p,rec_9p,tag_9p,EV_10p,rec_10p,tag_10p
96s,0.4514987766742706,0.3055192530155182,0.2345331609249115,0.1908194571733474,0.161363348,0.1404768824577331,0.1250153928995132,0.1131014376878738,0.1035838201642036,0.022773011,0.01593753,0.013662443,0.012686383,0.012042383,0.01152232,0.011096131,0.010747152,0.01046375,-0.074229436,Fold,Speculative,-0.059535947,Fold,Speculative,-0.034542469,Fold,Speculative,-0.014186757,Fold,Speculative,0.004307238,Call,Speculative,0.023666298,Call,Speculative,0.044507667,Call,Speculative,0.066275125,Call,Speculative,0.088156952,Call,Speculative
95s,0.433138371,0.2859742641448974,0.2165431976318359,0.1747827529907226,0.1470636278390884,0.1275309473276138,0.1130839437246322,0.1019271314144134,0.092988081,0.024087472,0.016434738,0.013882086,0.012806072,0.012117258,0.011577723,0.011145392,0.010789957,0.010495194,-0.109635787,Fold,Speculative,-0.1174251,Fold,Speculative,-0.106063038,Fold,Speculative,-0.094071055,Fold,Speculative,-0.081266458,Fold,Speculative,-0.06676134,Fold,Speculative,-0.05074688,Fold,Speculative,-0.034101011,Fold,Speculative,-0.017643216,Fold,Speculative
94s,0.4140555262565613,0.2673456072807312,0.200019434,0.1604208201169967,0.1345083266496658,0.1163916811347007,0.1030304059386253,0.092707008,0.084414572,0.024547096,0.016274173,0.013496987,0.012320026,0.011590884,0.011040652,0.010608841,0.010252123,0.009951998,-0.147341851,Fold,Speculative,-0.173551919,Fold,Speculative,-0.17292829,Fold,Speculative,-0.167095835,Fold,Speculative,-0.158177388,Fold,Speculative,-0.146615949,Fold,Speculative,-0.13332139,Fold,Speculative,-0.119502374,Fold,Speculative,-0.106094292,Fold,Speculative
93s,0.4081079661846161,0.2621307969093323,0.1956506073474884,0.1569697260856628,0.1318439096212387,0.1143321841955185,0.1014223173260688,0.091436796,0.08339233,0.024571911,0.016111635,0.013195775,0.011879275,0.011028769,0.010375017,0.009854569,0.009427917,0.009074919,-0.159212157,Fold,Speculative,-0.189440157,Fold,Speculative,-0.19100602,Fold,Speculative,-0.185453183,Fold,Speculative,-0.175850234,Fold,Speculative,-0.16336215,Fold,Speculative,-0.149203185,Fold,Speculative,-0.13464321,Fold,Speculative,-0.12070211,Fold,Speculative
92s,0.3997271060943603,0.2549978792667389,0.190231979,0.1530927121639251,0.1291470676660537,0.1124886199831962,0.100174107,0.090596288,0.082853906,0.024418412,0.015656315,0.012549728,0.011111358,0.010183596,0.009484973,0.008941435,0.008508034,0.008156638,-0.176127376,Fold,Speculative,-0.21152189,Fold,Marginal,-0.213972628,Fold,Marginal,-0.206758044,Fold,Marginal,-0.194566806,Fold,Speculative,-0.179382255,Fold,Speculative,-0.162841406,Fold,Speculative,-0.146347251,Fold,Speculative,-0.130677753,Fold,Speculative
8Ao,0.5837799310684204,0.3875811994075775,0.2823285460472107,0.2188402861356735,0.1765305548906326,0.146219715,0.1233962476253509,0.1056708917021751,0.091616891,0.014979496,0.016980134,0.016866939,0.016312214,0.015720692,0.015146379,0.014568984,0.013969678,0.01334606,0.18253935780376196,Call,Strong,0.18821379914879777,Call,Strong,0.16304806247353532,Call,Strong,0.13498196471482493,Call,Strong,0.1063454039394851,Call,Strong,0.076550336,Call,Speculative,0.045445915,Call,Speculative,0.013901574071496059,Call,Speculative,-0.017100786,Fold,Speculative
8Ko,0.5443877577781677,0.3532386720180511,0.2562206387519836,0.198586568,0.160082996,0.1323248744010925,0.1113630309700965,0.095081821,0.082199827,0.015887447,0.016164744,0.015226863,0.014416844,0.013830945,0.013378315,0.012972216,0.012564611,0.012142834,0.10466296225786209,Call,Strong,0.083963132,Call,Speculative,0.055336282,Call,Speculative,0.028974950313568115,Call,Speculative,0.00199081,Call,Speculative,-0.026901778,Fold,Speculative,-0.057206888,Fold,Speculative,-0.087722862,Fold,Speculative,-0.11728756,Fold,Speculative
8Qo,0.5193639397621155,0.3371146321296692,0.2466672956943512,0.1922939419746399,0.1554287225008011,0.1286746710538864,0.1084954291582107,0.092889547,0.080587655,0.016691947,0.015688283,0.014416025,0.013593744,0.013070417,0.012680417,0.012328693,0.011987492,0.011648463,0.055419827,Call,Speculative,0.034876321,Call,Speculative,0.015501233,Call,Speculative,-0.004545931,Fold,Speculative,-0.028216415,Fold,Speculative,-0.054895843,Fold,Speculative,-0.082721796,Fold,Speculative,-0.110050358,Fold,Speculative,-0.135881132,Fold,Speculative
8Jo,0.4971933364868164,0.3258687257766723,0.2415292561054229,0.1898142695426941,0.1542802602052688,0.1284475177526474,0.1090561673045158,0.094144031,0.082444236,0.017763728,0.015440507,0.014052547,0.013371855,0.012984145,0.012684071,0.012402018,0.012124693,0.011858038,0.012150401249527931,Call,Speculative,0.000766938,Call,Speculative,-0.005777882,Fold,Speculative,-0.017499015,Fold,Speculative,-0.035366005,Fold,Speculative,-0.056473126,Fold,Speculative,-0.077942591,Fold,Speculative,-0.098142599,Fold,Speculative,-0.116267455,Fold,Speculative
8To,0.4782259166240692,0.3188493847846985,0.2398035228252411,0.1901701092720031,0.1557458043098449,0.1307541728019714,0.1120916083455085,0.097809888,0.086630195,0.019037373,0.015379551,0.014006284,0.013504096,0.013239446,0.013019023,0.01280292,0.012597844,0.012405816,-0.024510793,Fold,Speculative,-0.020382519,Fold,Speculative,-0.012773341,Fold,Speculative,-0.015389213,Fold,Speculative,-0.025806836,Fold,Speculative,-0.039154212,Fold,Speculative,-0.052055452,Fold,Speculative,-0.063020706,Fold,Speculative,-0.071668969,Fold,Speculative
